,Datetime,Tweet Id,Text,Username,hashtags
20,2019-12-28 12:10:01+00:00,1.2109E+18,"Ready for 📸📸 Dad 😍😆Late post #fatherandson #familytrip2019 #sevenwondersoftheworld #monumentsofindia #historyinpictures @ Taj Mahal, Agra, India https://t.co/ODA1VNS9Pb",rahulrao3187,"['fatherandson', 'familytrip2019', 'sevenwondersoftheworld', 'monumentsofindia', 'historyinpictures']"
21,2019-12-28 02:55:26+00:00,1.21076E+18,"Often regarded as a draft of the Taj Mahal, exploring the grounds of the 'Baby Taj' will also take you through beautiful gardens and outbuildings #foxvit
________________
#tajmahal #india #agra #incredibleindia… https://t.co/uPAoI2tgsJ",Flightogram,"['foxvit', 'tajmahal', 'india', 'agra', 'incredibleindia']"
22,2019-12-27 17:17:06+00:00,1.21061E+18,"Yesterday was all about paying my respects to one of the Seven Wonders of the World...the Taj Mahal...🙏🏻💕
.
.
#india #visitindia #agra #tajmahal #sevenwondersoftheworld #travel #intrepid #intrepidtravel #wanderlust… https://t.co/cSZlMSb6FH",themindfulginge,"['india', 'visitindia', 'agra', 'tajmahal', 'sevenwondersoftheworld', 'travel', 'intrepid', 'intrepidtravel', 'wanderlust']"
23,2019-12-27 15:00:24+00:00,1.21058E+18,"""Ornate windows form the perfect visual frame to what lies ahead: the view of the Taj Mahal from the terrace of the Oberoi is simply and utterly breathtaking...”

https://t.co/TfF3IiIqT4

@OberoiAmarvilas @OberoiHotels @incredibleindia #OutThere #Experiential #India #Agra",OutThereMag,"['OutThere', 'Experiential', 'India', 'Agra']"
24,2019-12-27 11:16:24+00:00,1.21052E+18,"TripAdvisor | Private Taj Mahal &amp; Agra Tour from Delhi by Car provided by Classical Holidays India | New Delhi, National Capital Territory of Delhi https://t.co/KKOtCW81YF",classicalholida,
25,2019-12-27 09:23:22+00:00,1.21049E+18,"Long overdue post of the Taj Mahal. We had such a good day with our friends! @ Taj Mahal, Agra, India https://t.co/9kUuln94SV",travels_adrian,
26,2019-12-27 03:48:54+00:00,1.21041E+18,"Famous Handicrafts to Purchase in Taj Mahal, #Agra #travel #india #travelogy #travelblogs https://t.co/KsogvVjhWP #shopping",travelogy,"['Agra', 'travel', 'india', 'travelogy', 'travelblogs', 'shopping']"
27,2019-12-26 16:29:47+00:00,1.21024E+18,"Agra can go back to India and gather at the Taj Mahal's smaller annex, the Taj Murah. https://t.co/bmSYrxzLnV",boblskee,
28,2019-12-26 15:24:26+00:00,1.21022E+18,"Just posted a photo @ Taj Mahal, Agra, India https://t.co/m0B04yNezx",catman010,
29,2019-12-26 15:21:58+00:00,1.21022E+18,"Selfie with the wonder!
#selfie #tajmahal #friendstrip @ Taj Mahal, Agra, India https://t.co/9nbtjsFB1h",catman010,"['selfie', 'tajmahal', 'friendstrip']"
30,2019-12-26 15:17:47+00:00,1.21022E+18,"Mesmerized by the beauty of Taj #tajmahal #photography #specspic #agra @ Taj Mahal, Agra, India https://t.co/mrpK0qXPMj",catman010,"['tajmahal', 'photography', 'specspic', 'agra']"
31,2019-12-26 10:31:48+00:00,1.21015E+18,"Goa, India. And while you’re there make a turn to the Taj Mahal in Agra 🕌 https://t.co/3WQGbnxLfi",dr_lovelee,
32,2019-12-25 16:39:16+00:00,1.20988E+18,"I was about Xav's age when I first visited the Taj Mahal almost 35 years ago... and it's amazing to be back with him &amp; the family on Day 1 of our trip to India. 

#Canadian #PrimeMinister #JustinTrudeau #Canada #Tourism #Agra #UttarPradesh #Indian #TajMahal #India 🇮🇳 https://t.co/JGugNo1kTp",Joanlouis14_,"['Canadian', 'PrimeMinister', 'JustinTrudeau', 'Canada', 'Tourism', 'Agra', 'UttarPradesh', 'Indian', 'TajMahal', 'India']"
33,2019-12-25 11:50:38+00:00,1.2098E+18,"Golden triangle tour of India covering Agra and Jaipur. 

Family Polka has been in India since 10 days now. Few glimpses of beautiful Taj Mahal, mighty Amer Fort and Fathepur Sikri.

#incredibleindia... https://t.co/sXU2iOO3oh",TGIR19,['incredibleindia']
34,2019-12-24 19:02:30+00:00,1.20955E+18,"We are featured as one of the Top ten retreats!
10 Days Yoga Adventure in Mystical India. Book now! https://t.co/fzCUblYaf9 @ Taj Mahal, Agra, India https://t.co/h5xnN9lp7a",mayeyoga1,
35,2019-12-24 06:45:24+00:00,1.20936E+18,"This is the most beautiful mausoleum in the world😌Taj Mahal.

#India
#Tajmahal 
#Agra https://t.co/mjMR5EyKzS",noda_skywalker,"['India', 'Tajmahal', 'Agra']"
36,2019-12-23 16:27:55+00:00,1.20915E+18,"Beautiful tour @ Taj Mahal, Agra, India https://t.co/fwqMdYBtj4",DeshBhaktPiyush,
37,2019-12-23 16:19:39+00:00,1.20915E+18,#ClientDiaries From Clients Currently on Holiday In India - The opulence of The Taj Mahal in Agra leaves every visitor enchanted. No wonder The Taj Mahal is considered one of the wonders of the world. We specialise… https://t.co/Wz6TW1Czga,_global_travel_,['ClientDiaries']
38,2019-12-23 07:17:38+00:00,1.20901E+18,"Taj Mahal, Agra City

Best in the world ❣️ A room with the view of Taj Mahal

#delhigram #_soi #photographers_of_india #mumbai #nature #lenscaptureofficial #canon #travel #moodygrams #nikon #picoftheday #mypixeldiary… https://t.co/ufxo5VosqD",flyingfeathersI,"['delhigram', '_soi', 'photographers_of_india', 'mumbai', 'nature', 'lenscaptureofficial', 'canon', 'travel', 'moodygrams', 'nikon', 'picoftheday', 'mypixeldiary']"
39,2019-12-23 05:03:00+00:00,1.20898E+18,"Aerial view of #Taj_Mahal 😍 Agra, India. #naturelovers #nature #NaturePhotography https://t.co/mZcK9Aqtzu",VirtualKhalid,"['Taj_Mahal', 'naturelovers', 'nature', 'NaturePhotography']"
40,2019-12-22 23:35:02+00:00,1.20889E+18,"Guest from England in Taj Mahal tour organized by Aiza Tours. 
Book Your Tour Now &amp; Get 20% OFF: https://t.co/OLKCnNh2iu
#tajmahaltour #tajmahal #agra #agratour #india #lastminutedeals https://t.co/FQh2YmrCXu",ToursAiza,"['tajmahaltour', 'tajmahal', 'agra', 'agratour', 'india', 'lastminutedeals']"
